Scenario,Region,Sector,Sub-Sector,Species,Units,Year,ems,Source,GWP20,GWP100
BAU,AFRI_EAST,off-road,TRA_OT_OTHER,ch4,kt,2050,0.02,TTW,0.0016500000000000002,0.000596
BAU,AFRI_NORT,off-road,TRA_OT_CNS,ch4,kt,2050,0.27,TTW,0.022275000000000003,0.008046000000000001
BAU,AFRI_NORT,off-road,TRA_OT_AGR,ch4,kt,2050,0.61,TTW,0.050324999999999995,0.018178
BAU,AFRI_NORT,off-road,TRA_OT_RAI,ch4,kt,2050,0.02,TTW,0.0016500000000000002,0.000596
BAU,AFRI_NORT,off-road,TRA_OT_OTHER,ch4,kt,2050,0.03,TTW,0.002475,0.000894
BAU,AFRI_WEST,off-road,TRA_OT_CNS,ch4,kt,2050,0.61,TTW,0.050324999999999995,0.018178
BAU,AFRI_WEST,off-road,TRA_OT_AGR,ch4,kt,2050,0.04,TTW,0.0033000000000000004,0.001192
BAU,AFRI_WEST,off-road,TRA_OT_RAI,ch4,kt,2050,0.18,TTW,0.01485,0.005364
BAU,AFRI_WEST,off-road,TRA_OT_OTHER,ch4,kt,2050,0.02,TTW,0.0016500000000000002,0.000596
BAU,ASIA_STAN,off-road,TRA_OT_CNS,ch4,kt,2050,0.13,TTW,0.010725,0.0038740000000000003
BAU,ASIA_STAN,off-road,TRA_OT_AGR,ch4,kt,2050,0.05,TTW,0.004125,0.0014900000000000002
BAU,ASIA_STAN,off-road,TRA_OT_RAI,ch4,kt,2050,0.03,TTW,0.002475,0.000894
BAU,ASIA_STAN,off-road,TRA_OT_OTHER,ch4,kt,2050,0.01,TTW,0.0008250000000000001,0.000298
BAU,BRAZ_WHOL,off-road,TRA_OT_CNS,ch4,kt,2050,0.03,TTW,0.002475,0.000894
BAU,BRAZ_WHOL,off-road,TRA_OT_AGR,ch4,kt,2050,0.97,TTW,0.080025,0.028906
BAU,BRAZ_WHOL,off-road,TRA_OT_RAI,ch4,kt,2050,0.19,TTW,0.015675,0.005662
BAU,BRAZ_WHOL,off-road,TRA_OT_OTHER,ch4,kt,2050,0.14,TTW,0.011550000000000001,0.004172
BAU,CANA_WHOL,off-road,TRA_OT_CNS,ch4,kt,2050,0.52,TTW,0.0429,0.015496000000000001
BAU,CANA_WHOL,off-road,TRA_OT_AGR,ch4,kt,2050,0.62,TTW,0.05115,0.018476
BAU,CANA_WHOL,off-road,TRA_OT_RAI,ch4,kt,2050,0.29,TTW,0.023925,0.008642
BAU,CANA_WHOL,off-road,TRA_OT_OTHER,ch4,kt,2050,0.16,TTW,0.013200000000000002,0.004768
BAU,CEAM_REST,off-road,TRA_OT_CNS,ch4,kt,2050,0.08,TTW,0.006600000000000001,0.002384
BAU,CEAM_REST,off-road,TRA_OT_AGR,ch4,kt,2050,0.03,TTW,0.002475,0.000894
BAU,CEAM_REST,off-road,TRA_OT_RAI,ch4,kt,2050,0.0,TTW,0.0,0.0
BAU,CEAM_REST,off-road,TRA_OT_OTHER,ch4,kt,2050,0.06,TTW,0.00495,0.001788
BAU,CENT_EURO,off-road,TRA_OT_CNS,ch4,kt,2050,0.14,TTW,0.011550000000000001,0.004172
BAU,CENT_EURO,off-road,TRA_OT_AGR,ch4,kt,2050,0.25,TTW,0.020625,0.00745
BAU,CENT_EURO,off-road,TRA_OT_RAI,ch4,kt,2050,0.04,TTW,0.0033000000000000004,0.001192
BAU,CENT_EURO,off-road,TRA_OT_OTHER,ch4,kt,2050,0.04,TTW,0.0033000000000000004,0.001192
BAU,CHIN_PLUS,off-road,TRA_OT_CNS,ch4,kt,2050,3.62,TTW,0.29865,0.10787600000000001
BAU,CHIN_PLUS,off-road,TRA_OT_AGR,ch4,kt,2050,2.62,TTW,0.21615,0.078076
BAU,CHIN_PLUS,off-road,TRA_OT_RAI,ch4,kt,2050,0.23,TTW,0.018975000000000002,0.006854
BAU,CHIN_PLUS,off-road,TRA_OT_OTHER,ch4,kt,2050,2.33,TTW,0.192225,0.069434
BAU,INDI_WHOL,off-road,TRA_OT_CNS,ch4,kt,2050,4.85,TTW,0.40012499999999995,0.14453
BAU,INDI_WHOL,off-road,TRA_OT_AGR,ch4,kt,2050,1.7,TTW,0.14025,0.05066
