Scenario,Sector,Sub-Sector,Species,Units,Year,ems
BAU,off-road,TRA_OT_AGR,bc,kt,2008,143.858
BAU,off-road,TRA_OT_RAI,bc,kt,2008,50.33
BAU,off-road,TRA_OT_OTHER,bc,kt,2008,4.664274657168513
BAU,off-road,TRA_OT_CNS,ch4,kt,2008,6.744000000000001
BAU,off-road,TRA_OT_AGR,ch4,kt,2008,13.030000000000001
BAU,off-road,TRA_OT_RAI,ch4,kt,2008,5.088
BAU,off-road,TRA_OT_OTHER,ch4,kt,2008,8.344
BAU,off-road,TRA_OT_CNS,co2,Mt,2009,118.736
BAU,off-road,TRA_OT_AGR,co2,Mt,2009,227.1
BAU,off-road,TRA_OT_RAI,co2,Mt,2009,86.004
BAU,off-road,TRA_OT_OTHER,co2,Mt,2009,54.838100731095984
BAU,off-road,TRA_OT_CNS,bc,kt,2009,84.988
BAU,off-road,TRA_OT_AGR,bc,kt,2009,142.304
BAU,off-road,TRA_OT_RAI,bc,kt,2009,48.26
BAU,off-road,TRA_OT_OTHER,bc,kt,2009,4.708156084645316
BAU,off-road,TRA_OT_CNS,ch4,kt,2009,6.8020000000000005
BAU,off-road,TRA_OT_AGR,ch4,kt,2009,13.08
BAU,off-road,TRA_OT_RAI,ch4,kt,2009,4.9239999999999995
BAU,off-road,TRA_OT_OTHER,ch4,kt,2009,8.502
BAU,off-road,TRA_OT_CNS,co2,Mt,2010,119.42
BAU,off-road,TRA_OT_AGR,co2,Mt,2010,227.06
BAU,off-road,TRA_OT_RAI,co2,Mt,2010,82.94
BAU,off-road,TRA_OT_OTHER,co2,Mt,2010,54.99553796502382
BAU,off-road,TRA_OT_CNS,bc,kt,2010,84.62
BAU,off-road,TRA_OT_AGR,bc,kt,2010,140.75
BAU,off-road,TRA_OT_RAI,bc,kt,2010,46.19
BAU,off-road,TRA_OT_OTHER,bc,kt,2010,4.75203751212212
BAU,off-road,TRA_OT_CNS,ch4,kt,2010,6.86
BAU,off-road,TRA_OT_AGR,ch4,kt,2010,13.13
BAU,off-road,TRA_OT_RAI,ch4,kt,2010,4.76
BAU,off-road,TRA_OT_OTHER,ch4,kt,2010,8.66
BAU,off-road,TRA_OT_CNS,co2,Mt,2011,122.676
BAU,off-road,TRA_OT_AGR,co2,Mt,2011,226.17000000000002
BAU,off-road,TRA_OT_RAI,co2,Mt,2011,84.432
BAU,off-road,TRA_OT_OTHER,co2,Mt,2011,56.50012195060731
BAU,off-road,TRA_OT_CNS,bc,kt,2011,84.22800000000001
BAU,off-road,TRA_OT_AGR,bc,kt,2011,137.564
