Scenario,CY,RTK,MJ,Fuel (kg),CO2,CH4,N2O,nvPM_mass,nvPM_num,SO2,H2O,OC,Sulphates,NOx,CO,HC,ConERF,Stock,CO2e,EnRoute,Payload,TechEff,AvoidancePenalty,Formation,ConERFLowerBound,ConERFUpperBound,FuelEff,NOxERF,H2OERF,nvPM_massERF,SO2ERF
Current Commitments,1960,,,41860465116.279076,155.6651302325582,0.18062790697674425,0.0003612558139534815,0.003736267558659335,3.8075629373246696e+16,0.050232558139534894,51.5287324905658,0.0008372093023255669,0.001022330198630665,0.6430963208144456,0.1585718696737384,0.01909907814595138,0.0021777497859958887,,,,,,,,0.00036811603623463,0.006086095272323026,,0.002397630848253857,0.00026794940895094214,0.0003761300551302353,-0.0010001302325581397
Current Commitments,1961,,,45930232558.139534,170.79924011627912,0.19818895348837212,0.0003963779069767366,0.004099515793528992,4.177742667342346e+16,0.055116279069767446,56.538470371593014,0.0009186046511627747,0.0011217234123864239,0.7056195742269611,0.17398857922535185,0.02095593296569665,0.0024173413974339954,,,,,,,,0.0004086154154033579,0.006755675121687993,,0.0026307338473896486,0.0002940000459322837,0.0004126982549345636,-0.0010973651162790698
Current Commitments,1962,,,50581395348.83721,188.09536569767448,0.2182587209302326,0.00043651744186045673,0.0045146566333800296,4.600805215933975e+16,0.060697674418604665,62.263885092767,0.0010116279069767265,0.0012353156566787201,0.7770747209841217,0.1916076758557672,0.02307805275969125,0.0026935474727047834,,,,,,,,0.0004553039221668242,0.007527580369803404,,0.00289713727497341,0.00032377220248238834,0.00045449048328236757,-0.0012084906976744189
Current Commitments,1963,,,53372093023.25581,198.47304104651167,0.23030058139534887,0.00046060116279068885,0.004763741137290651,4.854642745088954e+16,0.06404651162790698,65.69913392547139,0.0010674418604650977,0.0013034710032540976,0.8199478090384181,0.20217913383401645,0.024351324636088006,0.0028760936087263746,,,,,,,,0.0004861606167486978,0.008037736854522692,,0.0030569793315236675,0.00034163549641245115,0.00047956582029104987,-0.001275166046511628
Current Commitments,1964,,,55813953488.37209,207.55350697674425,0.24083720930232563,0.0004816744186046419,0.0049816900782124465,5.076750583099559e+16,0.06697674418604652,68.70497665408773,0.0011162790697674223,0.0013631069315075532,0.8574617610859274,0.2114291595649845,0.02546543752793517,0.003044026624474361,,,,,,,,0.0005145471818663276,0.008507054468411645,,0.0031968411310051422,0.0003572658786012562,0.0005015067401736471,-0.0013335069767441861
Current Commitments,1965,,,59651162790.69768,221.82281058139543,0.2573947674418605,0.0005147895348837111,0.005324181271089553,5.425777185687654e+16,0.07158139534883722,73.42844379905625,0.0011930232558139326,0.0014568205330486974,0.9164122571605849,0.22596491428507723,0.027216186357980714,0.003293099717315122,,,,,,,,0.000556649263684378,0.009203131943679452,,0.003416623958761746,0.0003818279077550925,0.0005359853285605852,-0.001425185581395349
Current Commitments,1966,,,64651162790.697685,240.41614558139545,0.2789697674418606,0.0005579395348837103,0.005770457673929418,5.880569425423657e+16,0.07758139534883722,79.58326462431829,0.0012930232558139312,0.001578932195662916,0.9932265399245327,0.2449054431627738,0.029497465136524906,0.003613329828423951,,,,,,,,0.0006107793753906913,0.010098069910294227,,0.00370300764341429,0.0004138329760464551,0.0005809119740344744,-0.001544645581395349
Current Commitments,1967,,,76279069767.44185,283.65645953488377,0.32914418604651163,0.0006582883720930105,0.006808309773557009,6.93822579690273e+16,0.09153488372093023,93.89680142725321,0.0015255813953488104,0.0018629128063936556,1.171864406817434,0.2889531847388121,0.03480276462151139,0.004316667154340369,,,,,,,,0.0007296680329477468,0.012063666693558617,,0.004369016212373694,0.00048826336742171665,0.0006853925449039841,-0.0018224595348837209
Current Commitments,1968,,,86395348837.2093,321.27553267441874,0.3727959302325582,0.0007455918604651019,0.007711241100233016,7.858386840089526e+16,0.10367441860465117,106.34957844580661,0.001727906976744156,0.0021099759377294,1.3272793510142584,0.32727471990996565,0.03941837517344965,0.004951237256810359,,,,,,,,0.0008369326196952239,0.013837081676967292,,0.004948443667368377,0.0005530178079181943,0.0007762906415604578,-0.002064157674418605
Current Commitments,1969,,,90465116279.06976,336.40964255813964,0.39035697674418607,0.000780713953488357,0.008074489335102674,8.228566570107202e+16,0.10855813953488372,111.35931632683383,0.0018093023255813638,0.0022093691514851587,1.389802604426774,0.34269142946157904,0.04127522999319492,0.005251154045194722,,,,,,,,0.0008876290679512313,0.014675250579388581,,0.005181546666504168,0.0005790684448995359,0.0008128588413647862,-0.002161392558139535
Current Commitments,1970,,,90697674418.60464,337.2744488372094,0.3913604651162791,0.0007827209302325431,0.008095246377095223,8.249719697536782e+16,0.10883720930232559,111.64558706289253,0.0018139534883720612,0.0022150487636997734,1.3933753617646318,0.34357238429309983,0.04138133598289465,0.00533324890596423,,,,,,,,0.0009015059765547996,0.014904678747502412,,0.005194866837883356,0.0005805570527270411,0.0008149484527821762,-0.0021669488372093025
Current Commitments,1971,,,104651162790.69768,389.16282558139545,0.45156976744186056,0.0009031395348837037,0.009340668896648337,9.518907343311674e+16,0.12558139534883722,128.82183122641447,0.002093023255813917,0.0025558254965766625,1.607740802036114,0.396429674184346,0.04774769536487844,0.0062349874495641906,,,,,,,,0.001053931393158942,0.01742474176041896,,0.005994077120634642,0.0006698735223773552,0.0009403251378255882,-0.002500325581395349
