Scenario,CY,RTK,MJ,Fuel (kg),CO2,H2O,OC,SO2,Sulphates,NOx,CO,HC,CH4,N2O,nvPM_mass,nvPM_num,ConEF,Stock,EnRoute,Payload,TechEff,AvoidancePenalty,CO2e,FuelEff
Continuation,2040,2.06219E+12,1.77544E+13,4.11269E+11,1444.655612,506.4840155,0.008216674,0.463285862,0.010032942,6.710507774,1.64432152,0.185153845,1.686540181,0.003499365,0.037927614,3.57E+17,1.13266E+12,54420.88774,0.979208676,0.958829455,0.846627539,1,1491.484832,8.609477193
Continuation,2041,2.12885E+12,1.80867E+13,4.18909E+11,1466.577331,516.0995864,0.008368758,0.470228607,0.010218655,6.786885461,1.672045363,0.18846808,1.71273021,0.003566163,0.038520876,3.63E+17,1.16027E+12,56284.21747,0.978229467,0.956911796,0.83851541,1,1514.137155,8.495996225
Continuation,2042,2.19782E+12,1.84219E+13,4.26608E+11,1488.595129,525.8217888,0.008521958,0.477206607,0.01040573,6.856192893,1.6997266,0.191806688,1.739038977,0.003633415,0.039116979,3.68E+17,1.18866E+12,58222.55793,0.977251238,0.954997973,0.8302743,1,1536.888912,8.381914942
Continuation,2043,2.2692E+12,1.87571E+13,4.34297E+11,1510.462505,535.5639411,0.00867486,0.484142429,0.010592439,6.915775791,1.727175814,0.195140007,1.765171886,0.003700485,0.039709348,3.74E+17,1.21785E+12,60239.63585,0.976273987,0.953087977,0.821766931,1,1559.485412,8.265951469
Continuation,2044,2.34309E+12,1.9088E+13,4.41879E+11,1531.845637,545.2072007,0.008825528,0.490930703,0.010776417,6.961816145,1.75407974,0.198428404,1.790731825,0.003766509,0.040288869,3.80E+17,1.24789E+12,62339.38883,0.975297713,0.951181801,0.81281895,1,1581.5818,8.14651949
Continuation,2045,2.41959E+12,1.94139E+13,4.49342E+11,1552.714665,554.7394036,0.008973759,0.497563552,0.010957411,6.990251026,1.781366371,0.20167509,1.8156764,0.003831363,0.040855609,3.85E+17,1.2788E+12,64525.98331,0.974322415,0.949279437,0.803395635,1,1603.147025,8.023663641
Continuation,2046,2.49879E+12,1.9728E+13,4.56523E+11,1572.505492,563.9573854,0.009116248,0.503860286,0.011131391,6.997091858,1.807742892,0.204817001,1.8393335,0.003893599,0.041394591,3.90E+17,1.31061E+12,66803.8269,0.973348092,0.947380878,0.793237293,1,1623.598315,7.895011886
Continuation,2047,2.58082E+12,2.00362E+13,4.63561E+11,1591.693556,573.032829,0.009255784,0.509976325,0.011301769,6.990511602,1.833777943,0.20792248,1.862257604,0.003954362,0.041922,3.95E+17,1.34335E+12,69177.51739,0.972374744,0.945486116,0.782633225,1,1643.426504,7.76350983
Continuation,2048,2.66578E+12,2.03393E+13,4.7047E+11,1610.333252,581.9848531,0.009392672,0.515930754,0.011468922,6.970664452,1.859640988,0.211004888,1.884505022,0.004013744,0.042439744,4.00E+17,1.37705E+12,71651.98375,0.97140237,0.943595144,0.771629045,1,1662.68754,7.629759121
Continuation,2049,2.7538E+12,2.06492E+13,4.7753E+11,1629.382086,591.1556124,0.009532469,0.522032191,0.011639632,6.949057596,1.886223729,0.214167964,1.907188252,0.004074079,0.042972134,4.06E+17,1.41174E+12,74232.44551,0.970430967,0.941707954,0.760758368,1,1682.36983,7.498426218
Continuation,2050,2.84499E+12,2.09743E+13,4.84936E+11,1649.507942,600.7868652,0.0096791,0.528496342,0.011818688,6.933817029,1.91417354,0.217486252,1.931082097,0.004137009,0.043536141,4.11E+17,1.44748E+12,76924.43101,0.969460536,0.939824538,0.750350426,1,1703.162778,7.372365265
GHG Forward,2023,1.07688E+12,1.16658E+13,2.70355E+11,1005.358454,332.804441,0.005407091,0.324425431,0.006602149,4.130005796,1.087421016,0.121670021,1.16657978,0.00233316,0.023641291,2.46E+17,6.78563E+11,31609.24974,1,1,1,1,0,10.83296049
GHG Forward,2024,1.19828E+12,1.22699E+13,2.84354E+11,1054.730232,349.7375759,0.00568223,0.339911027,0.006938213,4.366178316,1.143023922,0.128059099,1.224338412,0.002446615,0.027553791,2.58E+17,7.31255E+11,32587.61117,0.99500999,0.975248753,0.972356996,1,1088.700163,10.2395556
GHG Forward,2025,1.29117E+12,1.29738E+13,3.00667E+11,1095.951937,369.7994805,0.006008197,0.352252022,0.00733631,4.644651792,1.209284948,0.135537663,1.27500725,0.002549781,0.028638666,2.69E+17,7.75012E+11,33593.31544,0.99401498,0.970372509,0.959309538,1,1131.328224,10.0480847
GHG Forward,2026,1.33156E+12,1.31641E+13,3.05077E+11,1100.698967,375.2238036,0.006096328,0.35323866,0.007443926,4.742345818,1.226717368,0.137531851,1.282361081,0.002564367,0.028762477,2.70E+17,7.87315E+11,34653.872,0.993020965,0.965520647,0.949658731,1,1136.279261,9.886231388
GHG Forward,2027,1.3732E+12,1.33761E+13,3.09992E+11,1106.850623,381.268892,0.006194543,0.354681849,0.00756385,4.848944209,1.246245218,0.139748451,1.291489323,0.002582497,0.028927039,2.72E+17,7.9981E+11,35748.53912,0.992027944,0.960693044,0.941456436,1,1142.684155,9.74087145
GHG Forward,2028,1.41612E+12,1.35995E+13,3.15169E+11,1113.490764,387.6365761,0.006298,0.356286867,0.007690176,4.960715242,1.266988132,0.142092309,1.301334951,0.002602058,0.029111,2.74E+17,8.12495E+11,36877.91808,0.991035916,0.955889578,0.933826266,1,1149.597436,9.603351177
GHG Forward,2029,1.46037E+12,1.38298E+13,3.20505E+11,1120.222714,394.1989099,0.00640462,0.357926755,0.007820366,5.0760993,1.288519535,0.144516201,1.311443031,0.002622139,0.02930419,2.76E+17,8.25368E+11,38042.6105,0.99004488,0.95111013,0.926435534,1,1156.609809,9.470073685
GHG Forward,2030,1.50595E+12,1.40354E+13,3.25269E+11,1124.504759,400.0594787,0.006499835,0.358790914,0.007936619,5.183239166,1.308253276,0.146712593,1.318840217,0.002636796,0.029438624,2.78E+17,8.36172E+11,39243.21655,0.986742886,0.94635458,0.919244725,1,1161.097058,9.319937287
GHG Forward,2031,1.55243E+12,1.42623E+13,3.30528E+11,1105.75607,406.526847,0.006604913,0.351513452,0.008064927,5.299889737,1.329206999,0.149078346,1.301574413,0.002651488,0.029041242,2.75E+17,8.38738E+11,40480.01127,0.985294177,0.941622807,0.912200851,1,1141.882751,9.187097876
GHG Forward,2032,1.60021E+12,1.44922E+13,3.35855E+11,1086.05373,413.0790834,0.006711368,0.343890499,0.008194915,5.418901701,1.350368572,0.151470646,1.283344396,0.002665839,0.028653253,2.72E+17,8.41478E+11,41750.12228,0.983847279,0.936914693,0.90525767,1,1121.688472,9.056424796
GHG Forward,2033,1.64935E+12,1.4725E+13,3.41248E+11,1065.36497,419.7124106,0.00681914,0.335910851,0.008326508,5.540257115,1.371725663,0.153888767,1.264114654,0.002679807,0.028275355,2.69E+17,8.44421E+11,43054.7204,0.982402151,0.932230119,0.898397711,1,1100.480476,8.92773503
GHG Forward,2034,1.69989E+12,1.49609E+13,3.46714E+11,1043.687945,426.4351295,0.006928364,0.327573065,0.008459871,5.664098214,1.393301905,0.156336272,1.243886333,0.002693428,0.027909036,2.67E+17,8.47592E+11,44395.01881,0.980958755,0.927568969,0.891630412,1,1078.256959,8.801110871
GHG Forward,2035,1.75187E+12,1.51836E+13,3.51866E+11,1019.885588,432.7996888,0.007031228,0.318514615,0.008585463,5.778483215,1.413293355,0.15863544,1.221329583,0.002703839,0.027523347,2.64E+17,8.51022E+11,45772.28415,0.979517055,0.922931124,0.884028439,1,1053.843901,8.667080397
GHG Forward,2036,1.80535E+12,1.53813E+13,3.56429E+11,992.878887,438.4703252,0.007122275,0.308536969,0.008696622,5.876399902,1.430847778,0.160677918,1.195629713,0.002709014,0.027101782,2.61E+17,8.53883E+11,47187.8622,0.977376122,0.918316468,0.875538775,1,1026.139576,8.519857473
GHG Forward,2037,1.86039E+12,1.55484E+13,3.60277E+11,962.8378694,443.2884746,0.007198933,0.297603879,0.008790207,5.949090997,1.445152961,0.162372761,1.16656618,0.002708103,0.026639456,2.57E+17,8.57069E+11,48644.79973,0.975240348,0.913724886,0.865417466,1,995.3077816,8.357588981
GHG Forward,2038,1.91706E+12,1.56728E+13,3.6313E+11,929.2887084,446.9121721,0.007255645,0.285582193,0.008859438,5.98523739,1.455057467,0.163577587,1.133513232,0.002699192,0.026122321,2.53E+17,8.60614E+11,50145.05878,0.973109622,0.909156262,0.853168093,1,960.8571476,8.175458047
GHG Forward,2039,1.97542E+12,1.57564E+13,3.65027E+11,892.6586721,449.3885837,0.00729318,0.272619059,0.008905248,5.987037362,1.46088362,0.164313959,1.096925231,0.002682785,0.025559461,2.49E+17,8.64553E+11,51690.74238,0.970983837,0.90461048,0.8389893,1,923.2274386,7.976209923
