Scenario,CY,RTK,CO2,H2O,OC,SO2,Sulphates,NOx,CO,HC,CH4,N2O,nvPM_mass,nvPM_num,ConEF,Stock,MJ,Fuel (kg),EnRoute,Payload,TechEff,AvoidancePenalty,FuelEff,ConERF
Continuation,2048,2665784841971.6367,1655.0047695159517,581.9848531152334,0.0093926722192768,0.5159307536369568,0.011468922433663,6.970664452431222,1.8596409876030373,0.2110048884893317,1.899602307683231e-09,2.5219204317495326e-11,0.0385684631053568,4.003869339486814e+17,1377046378263.8848,71651.98374765055,20339296213601.598,470470180867.7199,0.97140237,0.943595144,0.7716290449400613,1.0,7.629759121354475,56.228493050902834
Continuation,2049,2753799484079.081,1674.630545096772,591.155612405138,0.0095324692687798,0.5220321905860803,0.0116396316434385,6.949057596122689,1.8862237286297543,0.2141679643998602,1.922880173182183e-09,2.6127928790245558e-11,0.0390637611378736,4.055247163795356e+17,1411742844141.1396,74232.44550856168,20649162251186.742,477529664439.1754,0.970430967,0.941707954,0.7607583679436838,1.0,7.498426218237231,57.6452427125444
Continuation,2050,2844991059784.6924,1695.3615726829114,600.7868651926984,0.0096790995304573,0.5284963423540472,0.0118186877644789,6.933817028969688,1.9141735404320603,0.2174862524409289,1.94738192188439e-09,2.705797432276176e-11,0.0395879481245708,4.109547130092818e+17,1447475558486.933,76924.4310131666,20974313268555.89,484935590749.2448,0.969460536,0.939824538,0.7503504257977789,1.0,7.372365265057534,59.10430517550623
GHG Forward,2023,1076879935911.4612,1033.305238706694,332.8044410466621,0.0054070905200803,0.3244254312048217,0.0066021488204499,4.130005796386175,1.0874210156949042,0.1216700210396399,1.167576540911422e-09,2.030415604645131e-12,0.0236435183244092,2.4597726223552493e+17,678562873505.9171,31609.24973915726,11675765409115.186,270585525124.33804,1.0,1.0,1.0,1.0,10.842216499495764,27.707540152446864
GHG Forward,2024,1198283164085.4792,1083.1390056961206,349.73757586449307,0.005682230481559,0.3399110274068644,0.0069382133445546,4.366178315826129,1.1430239220886371,0.1280590985500957,1.224927366794845e-09,2.9739543712157525e-12,0.0248287264552975,2.580456660354081e+17,731255194944.4557,32587.6111656414,12269887078239.896,284354277595.36255,0.9950099899999998,0.9752487529999998,0.9723569958228068,1.0,10.239555595863004,29.859108811723374
GHG Forward,2025,1291167587890.2134,1125.564285585452,369.7994805291821,0.0060081972541328,0.3522520218708747,0.0073363103974985,4.644651791862566,1.2092849477701633,0.1355376633570483,1.2791576955390942e-09,8.18456373428766e-12,0.0258600772480342,2.685751831402112e+17,775011720035.0553,33593.315443485815,12973761288150.691,300666542019.7148,0.99401498,0.970372509,0.9593095380666468,1.0,10.048084702428138,31.645804965044185
GHG Forward,2026,1331555495558.7358,1130.510080088727,375.2238036417294,0.0060963279535968,0.3532386597112699,0.007443925707996,4.742345817876783,1.2267173683280512,0.1375318514184554,1.288678070451512e-09,1.1312311888038998e-11,0.0260019209193249,2.700354936308384e+17,787315067897.6222,34653.87200173803,13164065735331.98,305076842070.266,0.993020965,0.965520647,0.9496587308355424,1.0,9.886231388206758,32.14818362179311
GHG Forward,2027,1373198119204.5764,1136.9103059698823,381.2688920457809,0.006194543279266,0.3546818494756893,0.0075638503021665,4.848944209224042,1.2462452176329473,0.1397484514145798,1.3000476685817474e-09,1.4550708975499231e-11,0.0261808348666896,2.7188936995287856e+17,799810202919.3696,35748.53912394161,13376146353889.104,309991804261.6247,0.992027944,0.960693044,0.9414564363478376,1.0,9.74087144951613,32.65839346209363
GHG Forward,2028,1416124962091.6997,1143.824729550856,387.63657605924857,0.0062980001747547,0.3562868670289805,0.0076901764175305,4.960715242065137,1.2669881315127038,0.1420923087614953,1.3122115524231655e-09,1.790091559265539e-11,0.026377823101742,2.7392618686519264e+17,812494954733.3129,36877.918083014,13599545321817.455,315169068871.78345,0.991035916,0.955889578,0.933826266233058,1.0,9.603351177236595,33.17634586404682
GHG Forward,2029,1460366021506.3076,1150.846553678601,394.1989098728335,0.0064046198563758,0.3579267554020316,0.0078203656446164,5.076099300115909,1.2885195345170677,0.1445162011678941,1.3247159107148203e-09,2.1363755551091697e-11,0.0265837130969901,2.760511056555221e+17,825367578593.8102,38042.61050123582,13829773831212.594,320504607907.592,0.99004488,0.95111013,0.9264355339316942,1.0,9.470073685327018,33.70196958501359
GHG Forward,2030,1505951857368.605,1155.3649670531677,400.0594786696128,0.006499835389656,0.3587909135090134,0.0079366192890569,5.183239165672561,1.3082532764890618,0.1467125928003127,1.334555454137624e-09,2.488813266030964e-11,0.026736625204618,2.776416862610583e+17,836172331407.2637,39243.21655360616,14035376867772.654,325269452323.81586,0.986742885754984,0.94635458,0.9192447248014654,1.0,9.319937286904436,34.14315659082376
GHG Forward,2031,1552426694668.9778,1136.4493595505833,406.52684700718345,0.0066049126590563,0.3515134517149804,0.0080649273437062,5.2998897372576845,1.3292069992794744,0.1490783462371132,1.3223304829356754e-09,3.2153016654100355e-11,0.0264632893785308,2.7479693583839635e+17,838737852310.2992,40480.01126925535,14262295989987.986,330527804854.3925,0.985294177385204,0.941622807,0.9122008506184324,1.0,9.18709787648242,34.24791368291977
GHG Forward,2032,1600213590053.5835,1116.5753654319976,413.0790833687363,0.0067113680499823,0.3438904988810943,0.0081949149489368,5.41890170056988,1.3503685719302865,0.1514706455246775,1.309298932682879e-09,3.9644392949471454e-11,0.0261966011185318,2.720285703255124e+17,841478180435.8901,41750.12227717149,14492214036125.916,335855122336.69464,0.9838472793804228,0.936914693,0.905257670312924,1.0,9.056424796167768,34.3598086222618
GHG Forward,2033,1649354549220.37,1095.7100168448608,419.7124105892706,0.0068191402928856,0.335910850827547,0.0083265077166875,5.540257114988855,1.3717256626109895,0.1538887667058208,1.295428007089304e-09,4.7366131591167905e-11,0.0259372936349463,2.693429484104e+17,844420609328.1714,43054.72040268447,14725000385560.648,341248338675.78235,0.982402150947704,0.932230119,0.8983977114680611,1.0,8.92773502975511,34.47995587738257
