Scenario,Sector,Sub-Sector,Species,Units,Year,ems,Source
BAU,off-road,TRA_OT_OTHER,ch4,kt,2010,8.66,TTW
BAU,off-road,TRA_OT_CNS,co2,Mt,2011,122.676,TTW
BAU,off-road,TRA_OT_AGR,co2,Mt,2011,226.17000000000002,TTW
BAU,off-road,TRA_OT_RAI,co2,Mt,2011,84.432,TTW
BAU,off-road,TRA_OT_OTHER,co2,Mt,2011,56.50012195060731,TTW
BAU,off-road,TRA_OT_CNS,bc,kt,2011,84.22800000000001,TTW
BAU,off-road,TRA_OT_AGR,bc,kt,2011,137.564,TTW
BAU,off-road,TRA_OT_RAI,bc,kt,2011,45.85,TTW
BAU,off-road,TRA_OT_OTHER,bc,kt,2011,4.755248348278959,TTW
BAU,off-road,TRA_OT_CNS,ch4,kt,2011,7.064,TTW
BAU,off-road,TRA_OT_AGR,ch4,kt,2011,13.110000000000001,TTW
BAU,off-road,TRA_OT_RAI,ch4,kt,2011,4.851999999999999,TTW
BAU,off-road,TRA_OT_OTHER,ch4,kt,2011,8.802,TTW
BAU,off-road,TRA_OT_CNS,co2,Mt,2012,125.932,TTW
BAU,off-road,TRA_OT_AGR,co2,Mt,2012,225.28,TTW
BAU,off-road,TRA_OT_RAI,co2,Mt,2012,85.924,TTW
BAU,off-road,TRA_OT_OTHER,co2,Mt,2012,58.00470593619079,TTW
BAU,off-road,TRA_OT_CNS,bc,kt,2012,83.836,TTW
BAU,off-road,TRA_OT_AGR,bc,kt,2012,134.378,TTW
BAU,off-road,TRA_OT_RAI,bc,kt,2012,45.51,TTW
BAU,off-road,TRA_OT_OTHER,bc,kt,2012,4.758459184435799,TTW
BAU,off-road,TRA_OT_CNS,ch4,kt,2012,7.268,TTW
BAU,off-road,TRA_OT_AGR,ch4,kt,2012,13.09,TTW
BAU,off-road,TRA_OT_RAI,ch4,kt,2012,4.944,TTW
BAU,off-road,TRA_OT_OTHER,ch4,kt,2012,8.943999999999999,TTW
BAU,off-road,TRA_OT_CNS,co2,Mt,2013,129.188,TTW
BAU,off-road,TRA_OT_AGR,co2,Mt,2013,224.39000000000001,TTW
BAU,off-road,TRA_OT_RAI,co2,Mt,2013,87.416,TTW
BAU,off-road,TRA_OT_OTHER,co2,Mt,2013,59.50928992177426,TTW
BAU,off-road,TRA_OT_CNS,bc,kt,2013,83.444,TTW
BAU,off-road,TRA_OT_AGR,bc,kt,2013,131.192,TTW
BAU,off-road,TRA_OT_RAI,bc,kt,2013,45.17,TTW
BAU,off-road,TRA_OT_OTHER,bc,kt,2013,4.761670020592637,TTW
BAU,off-road,TRA_OT_CNS,ch4,kt,2013,7.4719999999999995,TTW
BAU,off-road,TRA_OT_AGR,ch4,kt,2013,13.07,TTW
BAU,off-road,TRA_OT_RAI,ch4,kt,2013,5.036,TTW
BAU,off-road,TRA_OT_OTHER,ch4,kt,2013,9.086,TTW
BAU,off-road,TRA_OT_CNS,co2,Mt,2014,132.444,TTW
BAU,off-road,TRA_OT_AGR,co2,Mt,2014,223.5,TTW
BAU,off-road,TRA_OT_RAI,co2,Mt,2014,88.908,TTW
BAU,off-road,TRA_OT_OTHER,co2,Mt,2014,61.01387390735775,TTW
BAU,off-road,TRA_OT_CNS,bc,kt,2014,83.05199999999999,TTW
BAU,off-road,TRA_OT_AGR,bc,kt,2014,128.006,TTW
BAU,off-road,TRA_OT_RAI,bc,kt,2014,44.83,TTW
BAU,off-road,TRA_OT_OTHER,bc,kt,2014,4.7648808567494765,TTW
BAU,off-road,TRA_OT_CNS,ch4,kt,2014,7.676,TTW
BAU,off-road,TRA_OT_AGR,ch4,kt,2014,13.049999999999999,TTW
BAU,off-road,TRA_OT_RAI,ch4,kt,2014,5.128,TTW
BAU,off-road,TRA_OT_OTHER,ch4,kt,2014,9.228,TTW
BAU,off-road,TRA_OT_CNS,co2,Mt,2015,135.7,TTW
BAU,off-road,TRA_OT_AGR,co2,Mt,2015,222.61,TTW
BAU,off-road,TRA_OT_RAI,co2,Mt,2015,90.4,TTW
BAU,off-road,TRA_OT_OTHER,co2,Mt,2015,62.51845789294123,TTW
BAU,off-road,TRA_OT_CNS,bc,kt,2015,82.66,TTW
BAU,off-road,TRA_OT_AGR,bc,kt,2015,124.82,TTW
BAU,off-road,TRA_OT_RAI,bc,kt,2015,44.49,TTW
BAU,off-road,TRA_OT_OTHER,bc,kt,2015,4.768091692906316,TTW
BAU,off-road,TRA_OT_CNS,ch4,kt,2015,7.88,TTW
BAU,off-road,TRA_OT_AGR,ch4,kt,2015,13.03,TTW
BAU,off-road,TRA_OT_RAI,ch4,kt,2015,5.22,TTW
BAU,off-road,TRA_OT_OTHER,ch4,kt,2015,9.37,TTW
BAU,off-road,TRA_OT_CNS,co2,Mt,2016,160.378,TTW
BAU,off-road,TRA_OT_AGR,co2,Mt,2016,226.90800000000002,TTW
BAU,off-road,TRA_OT_RAI,co2,Mt,2016,88.73,TTW
BAU,off-road,TRA_OT_OTHER,co2,Mt,2016,62.61437553546029,TTW
BAU,off-road,TRA_OT_CNS,bc,kt,2016,89.26599999999999,TTW
BAU,off-road,TRA_OT_AGR,bc,kt,2016,120.768,TTW
BAU,off-road,TRA_OT_RAI,bc,kt,2016,42.724000000000004,TTW
BAU,off-road,TRA_OT_OTHER,bc,kt,2016,4.562598178868603,TTW
BAU,off-road,TRA_OT_CNS,ch4,kt,2016,9.326,TTW
BAU,off-road,TRA_OT_AGR,ch4,kt,2016,13.283999999999999,TTW
BAU,off-road,TRA_OT_RAI,ch4,kt,2016,5.124,TTW
BAU,off-road,TRA_OT_OTHER,ch4,kt,2016,9.783999999999999,TTW
BAU,off-road,TRA_OT_CNS,co2,Mt,2017,185.05599999999998,TTW
BAU,off-road,TRA_OT_AGR,co2,Mt,2017,231.20600000000002,TTW
BAU,off-road,TRA_OT_RAI,co2,Mt,2017,87.06,TTW
BAU,off-road,TRA_OT_OTHER,co2,Mt,2017,62.710293177979345,TTW
BAU,off-road,TRA_OT_CNS,bc,kt,2017,95.872,TTW
BAU,off-road,TRA_OT_AGR,bc,kt,2017,116.716,TTW
BAU,off-road,TRA_OT_RAI,bc,kt,2017,40.958,TTW
BAU,off-road,TRA_OT_OTHER,bc,kt,2017,4.3571046648308895,TTW
BAU,off-road,TRA_OT_CNS,ch4,kt,2017,10.772,TTW
BAU,off-road,TRA_OT_AGR,ch4,kt,2017,13.538,TTW
BAU,off-road,TRA_OT_RAI,ch4,kt,2017,5.028,TTW
BAU,off-road,TRA_OT_OTHER,ch4,kt,2017,10.197999999999999,TTW
BAU,off-road,TRA_OT_CNS,co2,Mt,2018,209.73399999999998,TTW
BAU,off-road,TRA_OT_AGR,co2,Mt,2018,235.504,TTW
BAU,off-road,TRA_OT_RAI,co2,Mt,2018,85.39,TTW
BAU,off-road,TRA_OT_OTHER,co2,Mt,2018,62.806210820498414,TTW
BAU,off-road,TRA_OT_CNS,bc,kt,2018,102.478,TTW
BAU,off-road,TRA_OT_AGR,bc,kt,2018,112.664,TTW
BAU,off-road,TRA_OT_RAI,bc,kt,2018,39.192,TTW
BAU,off-road,TRA_OT_OTHER,bc,kt,2018,4.151611150793176,TTW
BAU,off-road,TRA_OT_CNS,ch4,kt,2018,12.218,TTW
BAU,off-road,TRA_OT_AGR,ch4,kt,2018,13.792,TTW
BAU,off-road,TRA_OT_RAI,ch4,kt,2018,4.932,TTW
BAU,off-road,TRA_OT_OTHER,ch4,kt,2018,10.611999999999998,TTW
BAU,off-road,TRA_OT_CNS,co2,Mt,2019,234.41199999999998,TTW
BAU,off-road,TRA_OT_AGR,co2,Mt,2019,239.802,TTW
BAU,off-road,TRA_OT_RAI,co2,Mt,2019,83.72,TTW
BAU,off-road,TRA_OT_OTHER,co2,Mt,2019,62.902128463017476,TTW
BAU,off-road,TRA_OT_CNS,bc,kt,2019,109.084,TTW
BAU,off-road,TRA_OT_AGR,bc,kt,2019,108.612,TTW
BAU,off-road,TRA_OT_RAI,bc,kt,2019,37.425999999999995,TTW
BAU,off-road,TRA_OT_OTHER,bc,kt,2019,3.946117636755463,TTW
BAU,off-road,TRA_OT_CNS,ch4,kt,2019,13.664,TTW
BAU,off-road,TRA_OT_AGR,ch4,kt,2019,14.046000000000001,TTW
BAU,off-road,TRA_OT_RAI,ch4,kt,2019,4.836,TTW
BAU,off-road,TRA_OT_OTHER,ch4,kt,2019,11.026,TTW
BAU,off-road,TRA_OT_CNS,co2,Mt,2020,259.09,TTW
BAU,off-road,TRA_OT_AGR,co2,Mt,2020,244.1,TTW
BAU,off-road,TRA_OT_RAI,co2,Mt,2020,82.05,TTW
BAU,off-road,TRA_OT_OTHER,co2,Mt,2020,62.99804610553653,TTW
