Scenario,Sector,Species,Units,Year,ems,Source
Striving,Construction,co2,Mt,2015,135.7,TTW
Striving,Construction,bc,kt,2015,82.66,TTW
Striving,Construction,ch4,kt,2015,7.88,TTW
Striving,Construction,co2,Mt,2016,160.378,TTW
Striving,Construction,bc,kt,2016,89.26599999999999,TTW
Striving,Construction,ch4,kt,2016,9.326,TTW
Striving,Construction,co2,Mt,2017,185.05599999999998,TTW
Striving,Construction,bc,kt,2017,95.872,TTW
Striving,Construction,ch4,kt,2017,10.772,TTW
Striving,Construction,co2,Mt,2018,209.73399999999998,TTW
Striving,Construction,bc,kt,2018,102.478,TTW
Striving,Construction,ch4,kt,2018,12.218,TTW
Striving,Construction,co2,Mt,2019,234.41199999999998,TTW
Striving,Construction,bc,kt,2019,109.084,TTW
Striving,Construction,ch4,kt,2019,13.664,TTW
Striving,Construction,co2,Mt,2020,259.09,TTW
Striving,Construction,bc,kt,2020,115.69,TTW
Striving,Construction,ch4,kt,2020,15.11,TTW
Striving,Construction,co2,Mt,2021,253.29832000000002,TTW
Striving,Construction,bc,kt,2021,108.76032,TTW
Striving,Construction,ch4,kt,2021,14.782986666666666,TTW
Striving,Construction,co2,Mt,2022,247.4454133333333,TTW
Striving,Construction,bc,kt,2022,102.02248000000002,TTW
Striving,Construction,ch4,kt,2022,14.451813333333334,TTW
Striving,Construction,co2,Mt,2023,241.53128,TTW
Striving,Construction,bc,kt,2023,95.47648,TTW
Striving,Construction,ch4,kt,2023,14.11648,TTW
Striving,Construction,co2,Mt,2024,235.55591999999996,TTW
Striving,Construction,bc,kt,2024,89.12232,TTW
Striving,Construction,ch4,kt,2024,13.776986666666668,TTW
Striving,Construction,co2,Mt,2025,229.51933333333332,TTW
Striving,Construction,bc,kt,2025,82.96000000000001,TTW
Striving,Construction,ch4,kt,2025,13.433333333333334,TTW
Striving,Construction,co2,Mt,2026,221.42904,TTW
Striving,Construction,bc,kt,2026,77.32088,TTW
Striving,Construction,ch4,kt,2026,12.99312,TTW
Striving,Construction,co2,Mt,2027,213.40402666666668,TTW
Striving,Construction,bc,kt,2027,71.83872,TTW
Striving,Construction,ch4,kt,2027,12.554613333333334,TTW
Striving,Construction,co2,Mt,2028,205.4442933333333,TTW
Striving,Construction,bc,kt,2028,66.51352,TTW
Striving,Construction,ch4,kt,2028,12.117813333333332,TTW
Striving,Construction,co2,Mt,2029,197.54984,TTW
Striving,Construction,bc,kt,2029,61.34528,TTW
Striving,Construction,ch4,kt,2029,11.68272,TTW
Striving,Construction,co2,Mt,2030,189.72066666666666,TTW
Striving,Construction,bc,kt,2030,56.333999999999996,TTW
Striving,Construction,ch4,kt,2030,11.249333333333334,TTW
Striving,Construction,co2,Mt,2031,184.9078133333333,TTW
Striving,Construction,bc,kt,2031,53.251520000000006,TTW
Striving,Construction,ch4,kt,2031,10.971706666666666,TTW
Striving,Construction,co2,Mt,2032,179.93751999999998,TTW
Striving,Construction,bc,kt,2032,50.07288,TTW
Striving,Construction,ch4,kt,2032,10.684159999999999,TTW
Striving,Construction,co2,Mt,2033,174.8097866666667,TTW
Striving,Construction,bc,kt,2033,46.798080000000006,TTW
Striving,Construction,ch4,kt,2033,10.386693333333334,TTW
Striving,Construction,co2,Mt,2034,169.52461333333335,TTW
Striving,Construction,bc,kt,2034,43.427119999999995,TTW
Striving,Construction,ch4,kt,2034,10.079306666666668,TTW
Striving,Construction,co2,Mt,2035,164.08200000000002,TTW
Striving,Construction,bc,kt,2035,39.96000000000001,TTW
Striving,Construction,ch4,kt,2035,9.761999999999999,TTW
Striving,Construction,co2,Mt,2036,154.6664,TTW
Striving,Construction,bc,kt,2036,37.73728000000001,TTW
Striving,Construction,ch4,kt,2036,9.217600000000001,TTW
Striving,Construction,co2,Mt,2037,145.03320000000002,TTW
Striving,Construction,bc,kt,2037,35.45152,TTW
Striving,Construction,ch4,kt,2037,8.658,TTW
Striving,Construction,co2,Mt,2038,135.1824,TTW
Striving,Construction,bc,kt,2038,33.102720000000005,TTW
Striving,Construction,ch4,kt,2038,8.0832,TTW
Striving,Construction,co2,Mt,2039,125.11399999999999,TTW
Striving,Construction,bc,kt,2039,30.69088,TTW
Striving,Construction,ch4,kt,2039,7.493199999999998,TTW
Striving,Construction,co2,Mt,2040,114.82799999999997,TTW
Striving,Construction,bc,kt,2040,28.216000000000005,TTW
Striving,Construction,ch4,kt,2040,6.887999999999998,TTW
Striving,Construction,co2,Mt,2041,103.18607999999999,TTW
Striving,Construction,bc,kt,2041,25.3752,TTW
Striving,Construction,ch4,kt,2041,6.19344,TTW
Striving,Construction,co2,Mt,2042,91.57951999999997,TTW
Striving,Construction,bc,kt,2042,22.53866666666667,TTW
Striving,Construction,ch4,kt,2042,5.500159999999998,TTW
Striving,Construction,co2,Mt,2043,80.00832000000001,TTW
Striving,Construction,bc,kt,2043,19.706399999999995,TTW
Striving,Construction,ch4,kt,2043,4.808160000000001,TTW
Striving,Construction,co2,Mt,2044,68.47248,TTW
Striving,Construction,bc,kt,2044,16.878400000000003,TTW
Striving,Construction,ch4,kt,2044,4.117439999999999,TTW
Striving,Construction,co2,Mt,2045,56.97199999999999,TTW
Striving,Construction,bc,kt,2045,14.054666666666662,TTW
Striving,Construction,ch4,kt,2045,3.4279999999999995,TTW
Striving,Construction,co2,Mt,2046,45.41087999999998,TTW
Striving,Construction,bc,kt,2046,11.230506666666669,TTW
Striving,Construction,ch4,kt,2046,2.7340799999999987,TTW
Striving,Construction,co2,Mt,2047,33.93312,TTW
Striving,Construction,bc,kt,2047,8.412960000000007,TTW
Striving,Construction,ch4,kt,2047,2.04432,TTW
Striving,Construction,co2,Mt,2048,22.538719999999987,TTW
Striving,Construction,bc,kt,2048,5.602026666666667,TTW
Striving,Construction,ch4,kt,2048,1.3587199999999993,TTW
Striving,Construction,co2,Mt,2049,11.22767999999998,TTW
Striving,Construction,bc,kt,2049,2.7977066666666612,TTW
Striving,Construction,ch4,kt,2049,0.6772799999999987,TTW
Striving,Construction,co2,Mt,2050,0.0,TTW
Striving,Construction,bc,kt,2050,0.0,TTW
Striving,Construction,ch4,kt,2050,0.0,TTW
BAU,Construction,co2,Mt,1990,67.30185907354,WTT
BAU,Construction,co2,Mt,1991,64.98380651758086,WTT
BAU,Construction,co2,Mt,1992,62.66575396162172,WTT
BAU,Construction,co2,Mt,1993,60.347701405662576,WTT
BAU,Construction,co2,Mt,1994,58.02964884970344,WTT
BAU,Construction,co2,Mt,1995,55.7115962937443,WTT
BAU,Construction,co2,Mt,1996,56.7156076340217,WTT
BAU,Construction,co2,Mt,1997,57.7196189742991,WTT
BAU,Construction,co2,Mt,1998,58.723630314576496,WTT
BAU,Construction,co2,Mt,1999,59.7276416548539,WTT
BAU,Construction,co2,Mt,2000,60.731652995131306,WTT
BAU,Construction,co2,Mt,2001,61.383708711729035,WTT
BAU,Construction,co2,Mt,2002,62.03576442832678,WTT
BAU,Construction,co2,Mt,2003,62.68782014492452,WTT
BAU,Construction,co2,Mt,2004,63.33987586152226,WTT
BAU,Construction,co2,Mt,2005,63.991931578119996,WTT
BAU,Construction,co2,Mt,2006,64.36926331259788,WTT
BAU,Construction,co2,Mt,2007,64.74659504707576,WTT
BAU,Construction,co2,Mt,2008,65.12392678155364,WTT
BAU,Construction,co2,Mt,2009,65.50125851603153,WTT
BAU,Construction,co2,Mt,2010,65.87859025050939,WTT
BAU,Construction,co2,Mt,2011,67.67477757135732,WTT
BAU,Construction,co2,Mt,2012,69.47096489220525,WTT
BAU,Construction,co2,Mt,2013,71.26715221305315,WTT
BAU,Construction,co2,Mt,2014,73.06333953390106,WTT
BAU,Construction,co2,Mt,2015,74.85952685474898,WTT
BAU,Construction,co2,Mt,2016,88.47325864341146,WTT
BAU,Construction,co2,Mt,2017,102.0869904320739,WTT
BAU,Construction,co2,Mt,2018,115.7007222207364,WTT
BAU,Construction,co2,Mt,2019,129.31445400939882,WTT
BAU,Construction,co2,Mt,2020,142.92818579806126,WTT
BAU,Construction,co2,Mt,2021,143.56148525885166,WTT
BAU,Construction,co2,Mt,2022,144.194784719642,WTT
BAU,Construction,co2,Mt,2023,144.82808418043237,WTT
BAU,Construction,co2,Mt,2024,145.4613836412227,WTT
BAU,Construction,co2,Mt,2025,146.09468310201308,WTT
BAU,Construction,co2,Mt,2026,145.41945789294743,WTT
BAU,Construction,co2,Mt,2027,144.74423268388173,WTT
BAU,Construction,co2,Mt,2028,144.06900747481603,WTT
BAU,Construction,co2,Mt,2029,143.39378226575036,WTT
BAU,Construction,co2,Mt,2030,142.71855705668472,WTT
BAU,Construction,co2,Mt,2031,144.34704138443132,WTT
