timebounds,scenario,Vizcon Scenario,Pollutant Group,Actual Pollutant,Attributable Warming,Global Temperature Anomaly
1940.0,ssp119_Sulfur_Aviation_SLCP Forward,SLCP Forward,non-CO2,Sulfur,0.0,0.23588031318778266
1940.0,ssp119_Sulfur_Aviation_SLCP Forward lower,SLCP Forward lower,non-CO2,Sulfur,0.0,0.23588031318778266
1940.0,ssp119_Sulfur_Aviation_SLCP Forward upper,SLCP Forward upper,non-CO2,Sulfur,0.0,0.23588031318778266
1940.0,ssp119_Sulfur_Aviation_zero,zero,non-CO2,Sulfur,0.0,0.23588031318778266
1940.0,ssp119_contrails_Aviation_BAU,Historical Trends,non-CO2,contrails,2.3800538454243902e-05,0.23588031318778266
1940.0,ssp119_contrails_Aviation_Current Commitments,Current Commitments,non-CO2,contrails,2.3800538454243902e-05,0.23588031318778266
1940.0,ssp119_contrails_Aviation_Current Commitments lower,Current Commitments lower,non-CO2,contrails,4.023125123181481e-06,0.2358605357744516
1940.0,ssp119_contrails_Aviation_Current Commitments upper,Current Commitments upper,non-CO2,contrails,6.651468662585702e-05,0.23592302733595427
1940.0,ssp119_contrails_Aviation_Full Breakthrough,Full Breakthrough,non-CO2,contrails,2.3800538454243902e-05,0.23588031318778266
1940.0,ssp119_contrails_Aviation_Full Breakthrough lower,Full Breakthrough lower,non-CO2,contrails,4.023125123181481e-06,0.2358605357744516
1940.0,ssp119_contrails_Aviation_Full Breakthrough upper,Full Breakthrough upper,non-CO2,contrails,6.651468662585702e-05,0.23592302733595427
1940.0,ssp119_contrails_Aviation_GHG Forward,GHG Forward,non-CO2,contrails,2.3800538454243902e-05,0.23588031318778266
1940.0,ssp119_contrails_Aviation_GHG Forward lower,GHG Forward lower,non-CO2,contrails,4.023125123181481e-06,0.2358605357744516
1940.0,ssp119_contrails_Aviation_GHG Forward upper,GHG Forward upper,non-CO2,contrails,6.651468662585702e-05,0.23592302733595427
1940.0,ssp119_contrails_Aviation_Historical Trends lower,Historical Trends lower,non-CO2,contrails,4.023125123181481e-06,0.2358605357744516
1940.0,ssp119_contrails_Aviation_Historical Trends upper,Historical Trends upper,non-CO2,contrails,6.651468662585702e-05,0.23592302733595427
1940.0,ssp119_contrails_Aviation_SLCP Forward,SLCP Forward,non-CO2,contrails,2.3800538454243902e-05,0.23588031318778266
1940.0,ssp119_contrails_Aviation_SLCP Forward lower,SLCP Forward lower,non-CO2,contrails,4.023125123181481e-06,0.2358605357744516
1940.0,ssp119_contrails_Aviation_SLCP Forward upper,SLCP Forward upper,non-CO2,contrails,6.651468662585702e-05,0.23592302733595427
1940.0,ssp119_contrails_Aviation_zero,zero,non-CO2,contrails,0.0,0.23585651264932841
1940.0,ssp119_zero_tra,zero,,All,0.0,0.2358206642364922
1941.0,ssp119,,,,,0.25102657787652466
1941.0,ssp119_BAU,Historical Trends,non-CO2,All,0.00017115409320156427,0.25102657787652466
1941.0,ssp119_BC_Aviation_BAU,Historical Trends,non-CO2,BC,3.2747352965989407e-06,0.25102657787652466
1941.0,ssp119_BC_Aviation_Current Commitments,Current Commitments,non-CO2,BC,3.2747352965989407e-06,0.25102657787652466
1941.0,ssp119_BC_Aviation_Current Commitments lower,Current Commitments lower,non-CO2,BC,3.2747352965989407e-06,0.25102657787652466
1941.0,ssp119_BC_Aviation_Current Commitments upper,Current Commitments upper,non-CO2,BC,3.2747352965989407e-06,0.25102657787652466
1941.0,ssp119_BC_Aviation_Full Breakthrough,Full Breakthrough,non-CO2,BC,3.2747352965989407e-06,0.25102657787652466
1941.0,ssp119_BC_Aviation_Full Breakthrough lower,Full Breakthrough lower,non-CO2,BC,3.2747352965989407e-06,0.25102657787652466
1941.0,ssp119_BC_Aviation_Full Breakthrough upper,Full Breakthrough upper,non-CO2,BC,3.2747352965989407e-06,0.25102657787652466
1941.0,ssp119_BC_Aviation_GHG Forward,GHG Forward,non-CO2,BC,3.2747352965989407e-06,0.25102657787652466
1941.0,ssp119_BC_Aviation_GHG Forward lower,GHG Forward lower,non-CO2,BC,3.2747352965989407e-06,0.25102657787652466
1941.0,ssp119_BC_Aviation_GHG Forward upper,GHG Forward upper,non-CO2,BC,3.2747352965989407e-06,0.25102657787652466
1941.0,ssp119_BC_Aviation_Historical Trends lower,Historical Trends lower,non-CO2,BC,3.2747352965989407e-06,0.25102657787652466
1941.0,ssp119_BC_Aviation_Historical Trends upper,Historical Trends upper,non-CO2,BC,3.2747352965989407e-06,0.25102657787652466
1941.0,ssp119_BC_Aviation_SLCP Forward,SLCP Forward,non-CO2,BC,3.2747352965989407e-06,0.25102657787652466
1941.0,ssp119_BC_Aviation_SLCP Forward lower,SLCP Forward lower,non-CO2,BC,3.2747352965989407e-06,0.25102657787652466
1941.0,ssp119_BC_Aviation_SLCP Forward upper,SLCP Forward upper,non-CO2,BC,3.2747352965989407e-06,0.25102657787652466
1941.0,ssp119_BC_Aviation_zero,zero,non-CO2,BC,0.0,0.25102330314122806
1941.0,ssp119_CH4_Aviation_BAU,Historical Trends,non-CO2,CH4,1.1057149283399959e-06,0.25102657787652466
1941.0,ssp119_CH4_Aviation_Current Commitments,Current Commitments,non-CO2,CH4,1.1057149283399959e-06,0.25102657787652466
1941.0,ssp119_CH4_Aviation_Current Commitments lower,Current Commitments lower,non-CO2,CH4,1.1057149283399959e-06,0.25102657787652466
1941.0,ssp119_CH4_Aviation_Current Commitments upper,Current Commitments upper,non-CO2,CH4,1.1057149283399959e-06,0.25102657787652466
1941.0,ssp119_CH4_Aviation_Full Breakthrough,Full Breakthrough,non-CO2,CH4,1.1057149283399959e-06,0.25102657787652466
1941.0,ssp119_CH4_Aviation_Full Breakthrough lower,Full Breakthrough lower,non-CO2,CH4,1.1057149283399959e-06,0.25102657787652466
1941.0,ssp119_CH4_Aviation_Full Breakthrough upper,Full Breakthrough upper,non-CO2,CH4,1.1057149283399959e-06,0.25102657787652466
1941.0,ssp119_CH4_Aviation_GHG Forward,GHG Forward,non-CO2,CH4,1.1057149283399959e-06,0.25102657787652466
1941.0,ssp119_CH4_Aviation_GHG Forward lower,GHG Forward lower,non-CO2,CH4,1.1057149283399959e-06,0.25102657787652466
1941.0,ssp119_CH4_Aviation_GHG Forward upper,GHG Forward upper,non-CO2,CH4,1.1057149283399959e-06,0.25102657787652466
1941.0,ssp119_CH4_Aviation_Historical Trends lower,Historical Trends lower,non-CO2,CH4,1.1057149283399959e-06,0.25102657787652466
1941.0,ssp119_CH4_Aviation_Historical Trends upper,Historical Trends upper,non-CO2,CH4,1.1057149283399959e-06,0.25102657787652466
1941.0,ssp119_CH4_Aviation_SLCP Forward,SLCP Forward,non-CO2,CH4,1.1057149283399959e-06,0.25102657787652466
