Scenario,Sector,Source,Species,Units,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Striving,Aviation,TTW,co2,Tg,603.4346655,663.6178739,804.6932606,936.4718913,1047.549767,1160.560545,1147.854191,1134.906006,1121.531191,1107.56114,1089.848165,1048.594706,1006.630396,963.954522,920.6138274,858.8555358,795.4134263,731.6249914,667.7715326,604.1289365,540.89,485.11,429.86,375.01,320.35,265.63,209.99,153.77,96.73,77.62,69.47
Striving,Aviation,TTW,h2o,Tg,235.0721751,259.8731432,316.7365528,370.4590973,416.4369714,463.5786729,469.3787748,475.1528907,480.8290315,486.3415149,490.46415,494.7135394,498.6637758,502.3146302,505.6843797,502.3439905,498.768388,495.3792318,492.3557508,489.8862035,488.1431466,486.8781641,486.4121417,486.789803,488.0666723,490.3616714,493.8529257,499.6821959,511.3228029,489.0963937,445.0657184
Striving,Aviation,TTW,bc,Tg,0.00572881,0.00633322,0.007719006,0.009028248,0.010148748,0.011297612,0.011438963,0.011579681,0.011718011,0.011852352,0.011952823,0.012056382,0.012152651,0.012241624,0.012323746,0.012242339,0.0121552,0.012072605,0.011998922,0.011938738,0.011896259,0.01186543,0.011854073,0.011863277,0.011894395,0.011950325,0.012035408,0.01217747,0.012461157,0.01191949,0.010846443
Striving,Aviation,TTW,sox,Tg,0.229152405,0.253328815,0.308760246,0.361129908,0.405949932,0.451904474,0.457558513,0.463187221,0.468720421,0.474094084,0.4781129,0.482255278,0.486106037,0.489664952,0.492949842,0.489693573,0.486208014,0.482904207,0.479956865,0.477549508,0.475850346,0.474617219,0.474162933,0.474531083,0.475775798,0.478013002,0.481416337,0.48709881,0.498446274,0.476779588,0.433857727
Striving,Aviation,TTW,nox,Tg,2.891139505,3.196165222,3.895525109,4.556255673,5.121734969,5.701528114,5.772863242,5.84387877,5.913689306,5.981487031,6.03219109,6.084454091,6.133037827,6.177939481,6.219383841,6.178300582,6.134324447,6.092641405,6.055455782,6.025082958,6.003645199,5.98808725,5.982355666,5.987000502,6.002704646,6.03093071,6.073869452,6.145563319,6.288730493,6.015369131,5.473838324
Striving,on-road,TTW,bc,kt,705,686,660,630,601,572,497,423,352,281,203,179,163,148,133,119,108,97,86,75,64,55,47,40,33,27,22,18,15,12,9
Striving,on-road,TTW,ch4,kt,961,961,958,957,961,969,986,1006,1021,1019,968,948,927,898,860,816,778,731,680,620,547,490,434,382,335,288,248,211,177,147,121
Striving,on-road,TTW,co2,Mt,5918,6148,6224,6236,6229,6192,6020,5793,5501,5126,4635,4332,4022,3702,3372,3042,2731,2428,2135,1853,1582,1349,1134,940,769,621,500,395,308,236,180
Striving,on-road,WTT,co2,Mt,2217,2316,2350,2364,2369,2367,2327,2272,2196,2095,1956,1864,1757,1632,1489,1330,1209,1084,955,822,685,597,513,435,363,296,242,193,149,110,76
Striving,on-road,TTW,n2o,kt,140,143,145,144,144,143,139,133,127,120,110,104,96,89,81,73,66,58,52,45,38,33,28,24,20,16,13,11,8,6,5
BAU,on-road,TTW,bc,kt,707,688,664,639,614,590,567,544,523,505,488,474,462,452,444,437,432,429,428,428,431,435,440,446,454,462,470,479,488,497,506
BAU,on-road,TTW,ch4,kt,962,963,962,968,983,1007,1038,1078,1125,1181,1243,1310,1386,1468,1556,1651,1752,1861,1976,2098,2227,2353,2478,2600,2718,2834,2947,3055,3159,3258,3352
BAU,on-road,TTW,co2,Mt,5917,6149,6232,6307,6378,6441,6480,6513,6539,6558,6567,6570,6571,6570,6565,6557,6550,6547,6549,6558,6574,6593,6617,6646,6678,6714,6752,6792,6834,6876,6918
BAU,on-road,WTT,co2,Mt,2218,2316,2355,2396,2430,2463,2487,2510,2531,2549,2563,2580,2596,2610,2621,2629,2642,2655,2669,2684,2700,2719,2740,2762,2784,2807,2834,2862,2890,2918,2946
BAU,on-road,TTW,n2o,kt,140,144,145,147,148,150,151,152,154,155,157,158,160,161,162,164,165,166,167,168,169,170,171,172,173,175,176,177,178,180,181
